sample_id	original_column	file_project	platform	source_file	missing_fraction
TARGET-00-SJNORM016314-17A.4	TARGET-00-SJNORM016314-17A.4.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-00-SJNORM018231-17A.2	TARGET-00-SJNORM018231-17A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PARPYJ-09A	TARGET-10-PARPYJ-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-20-SJAML045738-09A	TARGET-20-SJAML045738-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PAPHGD-09A	TARGET-10-PAPHGD-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL012424-03A.1	TARGET-15-SJMPAL012424-03A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL046467-09A	TARGET-15-SJMPAL046467-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL012418-09A.1	TARGET-15-SJMPAL012418-09A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-00-SJNORM054698-14A.1	TARGET-00-SJNORM054698-14A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL040037-09A.4	TARGET-15-SJMPAL040037-09A.4.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-20-SJAML045742-09A	TARGET-20-SJAML045742-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PATKVD-09A	TARGET-10-PATKVD-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-00-SJNORM016314-17A.3	TARGET-00-SJNORM016314-17A.3.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL040024-09A.1	TARGET-15-SJMPAL040024-09A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-SJALL040058-09A	TARGET-10-SJALL040058-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PASNTZ-09A	TARGET-10-PASNTZ-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-00-SJNORM016096-14A.1	TARGET-00-SJNORM016096-14A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PARXMV-03A	TARGET-10-PARXMV-03A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PASRCV-09A	TARGET-10-PASRCV-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL016343-04A.1	TARGET-15-SJMPAL016343-04A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-SJBALL004182-09A.1	TARGET-10-SJBALL004182-09A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PARUEU-09A	TARGET-10-PARUEU-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PATALJ-09A	TARGET-10-PATALJ-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PAPEZX-09A	TARGET-10-PAPEZX-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL012418-09A.3	TARGET-15-SJMPAL012418-09A.3.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PASZJW-03A	TARGET-10-PASZJW-03A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL012419-09A.1	TARGET-15-SJMPAL012419-09A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-20-SJAML045737-09A	TARGET-20-SJAML045737-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL016447-09A.3	TARGET-15-SJMPAL016447-09A.3.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PARTBP-09A	TARGET-10-PARTBP-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL012425-09A.2	TARGET-15-SJMPAL012425-09A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-SJBALL004182-09A	TARGET-10-SJBALL004182-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PAPAJU-09A	TARGET-10-PAPAJU-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-15-SJMPAL046471-09A.1	TARGET-15-SJMPAL046471-09A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PASJLN-09A	TARGET-10-PASJLN-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PANWPI-09A	TARGET-10-PANWPI-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-00-SJNORM018231-17A.3	TARGET-00-SJNORM018231-17A.3.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-PAPDAU-09A	TARGET-10-PAPDAU-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
TARGET-10-SJBALL014594-03A	TARGET-10-SJBALL014594-03A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0
