sample_id	original_column	file_project	platform	source_file	missing_fraction	UMAP1	UMAP2
TARGET-15-SJMPAL012425-09A.1	TARGET-15-SJMPAL012425-09A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.185638	1.194762
TARGET-15-SJMPAL046470-09A.1	TARGET-15-SJMPAL046470-09A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.251643	1.5951463
TARGET-15-SJMPAL016447-09A.1	TARGET-15-SJMPAL016447-09A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	13.162788	2.9215066
TARGET-10-PAPIGH-09A	TARGET-10-PAPIGH-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.718545	1.5724525
TARGET-10-PANRIM-03A	TARGET-10-PANRIM-03A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.735297	2.287098
TARGET-15-SJMPAL042793-09A.2	TARGET-15-SJMPAL042793-09A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.386679	3.5532677
TARGET-10-SJBALL014146-09A	TARGET-10-SJBALL014146-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.6990385	2.5074515
TARGET-10-PANJRD-09A	TARGET-10-PANJRD-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.363848	2.6009052
TARGET-00-SJNORM016096-14A.2	TARGET-00-SJNORM016096-14A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.398842	2.1478708
TARGET-15-SJMPAL040037-09A.3	TARGET-15-SJMPAL040037-09A.3.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.334808	3.027728
TARGET-15-PARWPU-09A	TARGET-15-PARWPU-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.3081045	3.6724596
TARGET-00-SJNORM016314-17A.5	TARGET-00-SJNORM016314-17A.5.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.848717	1.9115674
TARGET-10-PASZEW-09A	TARGET-10-PASZEW-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	13.348785	2.8408625
TARGET-15-SJMPAL016448-09A	TARGET-15-SJMPAL016448-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.006689	1.9124231
TARGET-10-SJBALL004182-09A.2	TARGET-10-SJBALL004182-09A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.412141	2.8606625
TARGET-10-PAPGPJ-09A	TARGET-10-PAPGPJ-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.695951	2.1544044
TARGET-10-PATCNI-09A	TARGET-10-PATCNI-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.555759	3.618588
TARGET-15-SJMPAL046471-09A	TARGET-15-SJMPAL046471-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	13.920806	2.3639061
TARGET-10-SJBALL021816-09A	TARGET-10-SJBALL021816-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.837638	2.453529
TARGET-15-SJMPAL016343-09A	TARGET-15-SJMPAL016343-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	10.494802	1.4591717
TARGET-15-SJMPAL046470-09A.2	TARGET-15-SJMPAL046470-09A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.274992	1.6083335
TARGET-00-SJNORM016314-17A.4	TARGET-00-SJNORM016314-17A.4.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.87837	1.978946
TARGET-00-SJNORM018231-17A.2	TARGET-00-SJNORM018231-17A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	13.419568	1.8632632
TARGET-10-PARPYJ-09A	TARGET-10-PARPYJ-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.523419	1.8529309
TARGET-20-SJAML045738-09A	TARGET-20-SJAML045738-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.177047	2.8322527
TARGET-10-PAPHGD-09A	TARGET-10-PAPHGD-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.557071	2.529425
TARGET-15-SJMPAL012424-03A.1	TARGET-15-SJMPAL012424-03A.1.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.379982	1.5378075
TARGET-15-SJMPAL046467-09A	TARGET-15-SJMPAL046467-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.65753	2.7592413
