id	filename	md5	size	state
cf7e0ab1-4d80-4d07-9184-871499d4ad9a	43e58732-a3ec-4cfb-bb1d-34466c1f9ab9.rna_seq.augmented_star_gene_counts.tsv	ed94010c7b93538dd8944f84e5c07ee4	4213425	released
82c3e4eb-d699-4069-9728-8c085e221dd4	021b3498-8be6-46b9-8fde-5f10a4315daf.rna_seq.augmented_star_gene_counts.tsv	ff77bed1c1de52029b5df67e3a3a81eb	4214619	released
3cf3cc5e-24b7-4ade-bdd6-aa4982118b3f	35aba04f-0479-45f8-b921-25a049ea6621.rna_seq.augmented_star_gene_counts.tsv	90100034c6641206aee545d1c28ae03a	4222255	released
ce66ed05-a4ca-40c9-a6d4-33723e53bfb6	d79f83fb-c35f-4e53-9e07-5d4a1e93a25e.rna_seq.augmented_star_gene_counts.tsv	b9f400895b2e825d710f2156064ec846	4231611	released
25e36bd0-afb6-4821-9e03-2e50cebf26ab	85014cfb-acf5-4774-b6f0-4876810ba96c.rna_seq.augmented_star_gene_counts.tsv	a27af580d0332c612542053aa5aaefb0	4214075	released
0d46e56f-49d2-49ce-b60c-52ce6e654ad3	3c268783-cfb4-4e67-b392-54a1e5ed7966.rna_seq.augmented_star_gene_counts.tsv	a42d2ff4524523378799dc689fd9f8f3	4220221	released
34504d82-2eb9-469d-8670-dbab468f062d	ccc1fca9-a952-4e31-9299-0743b7ca5dd8.rna_seq.augmented_star_gene_counts.tsv	9d32ac226b89fea488e2293a68df497f	4215715	released
dc7ef24b-b892-4612-b375-2273ac60e8dd	a6bb3191-912c-4d1d-98c1-e0d405ed0098.rna_seq.augmented_star_gene_counts.tsv	2626752b1cc0c47d6f8015a10baee6fc	4230674	released
876453cd-0445-42cc-b322-0f25d9c27542	12dc87f4-71ee-4148-9d0a-300ca005d8eb.rna_seq.augmented_star_gene_counts.tsv	9369167cd6c68748a744773a35dfb042	4225466	released
3a18a22e-30d8-487d-9613-8c8cb729d9d3	b8f33100-c35b-4695-aca1-e9d68dc064b5.rna_seq.augmented_star_gene_counts.tsv	9fb6ad3ee80d3a98f64fc89c9c3d40e4	4220189	released
d539d28f-a325-409d-b619-231a6a3a0b46	7eae2fbf-5a30-4c6b-85d7-d01ffd583e9d.rna_seq.augmented_star_gene_counts.tsv	04da2d20108288cc313b97318f40a43f	4216296	released
b98cff1e-b6b5-4acb-9eef-89fe3907e8f2	6d825606-48cc-40f3-bdd1-9f815387520a.rna_seq.augmented_star_gene_counts.tsv	a1b022f9b917cb7a5a1d986c63e8ecab	4214263	released
1f903d6c-9ecf-4524-bf11-8786c90cfccf	ad1ad419-8d25-4057-b0a2-84327b1c8f4b.rna_seq.augmented_star_gene_counts.tsv	332e2b58cdafde83b01f46c2a196fd32	4230553	released
1d050798-4de2-482b-b4b7-b0332fb52fbe	eb8c25a9-db54-4957-b935-b64186d9d95e.rna_seq.augmented_star_gene_counts.tsv	00172b6c426c3c02422a2729b2eaad56	4220951	released
