sample_id	input_file	UMAP1	UMAP2
SJAMLM7032_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-1.048827	-0.02187471
SJAMLM7033_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.223822	-0.5495407
SJAMLM7041_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.2161321	1.2266101
SJAMLM7042_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.30868948	1.0589623
SJAMLM7043_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.29316396	1.1280706
SJAMLM7044_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.17502074	1.1827518
SJAMLM7045_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.037474778	1.38986
SJAMLM7046_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.36869758	0.9481509
SJAMLM7047_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.30933324	1.1851591
SJAMLM7048_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.32055926	1.220816
SJAMLM7049_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.15475734	1.3077089
SJAMLM7050_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.1948046	1.3375989
SJAMLM7051_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.32787517	1.1407506
SJAMLM7052_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.31998026	1.6913263
SJAMLM7053_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.2728126	1.7968575
SJAMLM7054_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.34531564	1.362754
SJAMLM7055_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.52753407	1.9197416
SJAMLM7056_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.3304803	1.1173009
SJAMLM7057_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.18976082	0.55511695
SJAMLM7058_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.2642871	-0.8076539
SJAMLM7059_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.34887347	1.8800263
SJAMLM7060_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.42788324	-0.6673473
SJBALL000013_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-2.7835357	9.646186
SJBALL010_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-5.2331185	8.69266
SJBALL015_D	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-3.8474588	8.792844
SJBALL020013_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-5.1719155	9.721236
SJBALL020069_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.700136	8.973329
SJBALL020073_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-5.301429	9.329006
SJBALL020077_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.522369	8.924482
SJBALL020081_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.902089	9.669558
SJBALL020084_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-5.4166255	8.771397
SJBALL020091_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.966969	8.732058
SJBALL020098_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-3.6742997	8.677186
SJBALL020100_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.8757095	9.295502
SJBALL020101_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-3.9051735	8.889356
SJBALL020106_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.377455	10.112636
SJBALL020111_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.484592	9.868227
SJBALL020113_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-3.0156646	8.460156
SJBALL020122_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-3.7198746	9.197127
SJBALL020138_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.7097917	8.917082
SJBALL020140_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.28692	8.496926
SJBALL020141_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-3.1699727	9.181756
SJBALL020142_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-3.0907378	9.2012205
SJBALL020145_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.3980656	8.764594
SJBALL020151_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.542495	10.099916
SJBALL020340_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.3653815	13.219433
SJBALL020374_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-5.0556393	9.597403
SJBALL020383_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.39769003	13.140499
SJBALL020469_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.5363693	12.873537
SJBALL020570_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.757574	10.022714
SJBALL020579_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.8073435	8.886635
SJBALL020579_X1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.121397	8.861242
SJBALL020589_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.9897103	8.7532625
SJBALL020595_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	0.35686833	12.6828375
SJBALL020609_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.2808424	13.247446
SJBALL020625_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-5.3438034	9.077176
SJBALL020649_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-5.354501	8.849313
SJBALL020704_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-5.049521	8.643348
SJBALL020765_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.811214	8.613923
SJBALL020811_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.5196095	9.3108
SJBALL020828_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-0.16601872	13.2055
SJBALL020832_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.86042	9.711025
SJBALL020836_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.0074677	8.858421
SJBALL020877_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-4.6706614	8.735595
SJBALL020882_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-5.4043307	8.628196
SJBALL020941_D1	WU-Harmonization-PCGP-UNSTRANDED_RSEM_gene_count.2022-04-17_13-05-36.txt	-5.072453	8.643818
