sample_id	original_column	file_project	platform	source_file	missing_fraction	UMAP1	UMAP2
TARGET-20-PARVAI-14A	TARGET-20-PARVAI-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.3497624	13.528106
TARGET-20-PARPDS-04A	TARGET-20-PARPDS-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.7933142	14.862649
TARGET-20-PASJIM-09A	TARGET-20-PASJIM-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.2750869	13.860691
TARGET-20-PAKTCX-04A	TARGET-20-PAKTCX-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.20485	14.586906
TARGET-20-PAEFGT-14A	TARGET-20-PAEFGT-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.5847554	14.16564
TARGET-20-PARWXU-04A	TARGET-20-PARWXU-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.4212756	14.047354
TARGET-20-PASRTP-14A	TARGET-20-PASRTP-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.5168651	13.898919
TARGET-21-PATKWH-14A	TARGET-21-PATKWH-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.12701163	14.423533
TARGET-20-PANTWV-14A	TARGET-20-PANTWV-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.6883055	13.665257
TARGET-20-PASLSD-14A	TARGET-20-PASLSD-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.545816	13.320667
TARGET-20-PAPBEJ-04A	TARGET-20-PAPBEJ-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.541782	14.14779
TARGET-20-PARTAL-14A	TARGET-20-PARTAL-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.662255	13.985402
TARGET-20-PASLSD-04A	TARGET-20-PASLSD-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.0181904	15.024851
TARGET-21-PASNKZ-09A	TARGET-21-PASNKZ-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.026816644	13.996131
TARGET-20-PANLIR-04A	TARGET-20-PANLIR-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-5.0400133	13.726299
TARGET-20-PASWLN-04A	TARGET-20-PASWLN-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.332266	13.92096
TARGET-20-PATJHJ-09A	TARGET-20-PATJHJ-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.5601425	14.826697
TARGET-20-PARUDL-14A	TARGET-20-PARUDL-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.388735	14.242501
TARGET-20-PAPXRJ-04A	TARGET-20-PAPXRJ-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.605109	14.800919
TARGET-21-PARBTV-09A	TARGET-21-PARBTV-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.52057755	13.842483
TARGET-20-PARBIU-14A	TARGET-20-PARBIU-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.91473573	13.852342
TARGET-20-PARSAN-09A	TARGET-20-PARSAN-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.8479333	14.400069
TARGET-20-PAEERJ-14A	TARGET-20-PAEERJ-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.310727	15.141763
TARGET-21-PASNKZ-14A	TARGET-21-PASNKZ-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	0.002311854	14.0318
TARGET-21-PASSLT-09A	TARGET-21-PASSLT-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.513075	14.310609
TARGET-20-PASVYA-04A	TARGET-20-PASVYA-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.8266964	13.954354
TARGET-21-PASFJJ-14A	TARGET-21-PASFJJ-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.06039781	14.035732
TARGET-20-PANGDN-04A	TARGET-20-PANGDN-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.7919333	13.273615
TARGET-21-PARBTV-14A	TARGET-21-PARBTV-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.1133217	13.86537
TARGET-20-PARPDS-09A	TARGET-20-PARPDS-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.621716	14.878342
TARGET-21-PARXYR-14A	TARGET-21-PARXYR-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.3033143	13.888599
TARGET-20-PARCEC-03A	TARGET-20-PARCEC-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.6681283	15.020001
TARGET-20-PASWLN-14A	TARGET-20-PASWLN-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.686243	13.57541
TARGET-20-PASMGW-04A	TARGET-20-PASMGW-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.7473745	13.953819
TARGET-20-PASVYA-14A	TARGET-20-PASVYA-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	19.00583	7.382244
TARGET-20-PASBBE-09A	TARGET-20-PASBBE-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.1130713	14.20284
TARGET-20-PAMYJX-04A	TARGET-20-PAMYJX-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.3348665	15.101564
TARGET-20-PASLSD-03A	TARGET-20-PASLSD-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.8688433	15.038896
TARGET-20-PANSJB-14A	TARGET-20-PANSJB-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.7607038	14.874883
TARGET-21-PASFJJ-15A	TARGET-21-PASFJJ-15A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	1.4206306	15.334437
TARGET-21-PASFLG-14A	TARGET-21-PASFLG-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.5579208	13.802301
TARGET-20-PASAUT-14A	TARGET-20-PASAUT-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.570759	14.918815
TARGET-20-PANGTF-14A	TARGET-20-PANGTF-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.707337	14.096519
TARGET-20-PARIMT-03A	TARGET-20-PARIMT-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.8189054	14.405845
